school_id,pupil_id,grade,Fluency,Kiswahili,Math,attendance_records,present_records,region,province,tutoring_program,teacher_id,lesson_completion_rate,pupil_percent_present,Fluency_encoding
416,25177,Grade 3,101.0,0.7714285850524902,0.8333333134651184,61,50,Kirinyaga,Central,No,124,0.250460405156538,81.97,0
416,25509,Grade 2,46.0,0.6571428775787354,0.46666666865348816,87,57,Kirinyaga,Central,No,202,0.680608365019011,65.52,0
416,25523,Grade 2,29.0,0.6571428775787354,0.699999988079071,102,53,Kirinyaga,Central,No,202,0.680608365019011,51.96,0
416,26101,Grade 3,103.0,0.7714285850524902,0.5666666626930237,61,26,Kirinyaga,Central,No,124,0.250460405156538,42.62,0
416,26185,Grade 5,63.0,0.5249999761581421,0.6399999856948853,37,30,Kirinyaga,Central,No,145,0.396761133603239,81.08,0
416,26676,Grade 4,102.0,0.8199999928474426,0.8199999928474426,99,83,Kirinyaga,Central,No,516,0.359154929577465,83.84,0
416,26910,Grade 3,76.0,0.6000000238418579,0.5666666626930237,61,30,Kirinyaga,Central,No,124,0.250460405156538,49.18,0
792,13,Grade 3,221.0,0.8571428656578064,0.9666666388511658,104,81,Siaya,Nyanza,No,669,0.882136279926335,77.88,0
792,190,Grade 1,45.0,0.7142857313156128,0.800000011920929,95,75,Siaya,Nyanza,No,545,0.809248554913295,78.95,0
792,253,Grade 5,190.0,0.6000000238418579,0.4000000059604645,99,61,Siaya,Nyanza,No,259,0.964285714285714,61.62,0
792,511,Grade 2,6.0,0.7428571581840515,0.4333333373069763,96,65,Siaya,Nyanza,No,201,0.876425855513308,67.71,1
792,646,Grade 1,36.0,0.5714285969734192,0.699999988079071,95,55,Siaya,Nyanza,No,545,0.809248554913295,57.89,0
792,690,Grade 5,221.0,0.875,0.800000011920929,99,80,Siaya,Nyanza,No,259,0.964285714285714,80.81,0
792,825,Grade 1,48.0,0.8857142925262451,0.9333333373069763,95,70,Siaya,Nyanza,No,545,0.809248554913295,73.68,0
792,1504,Grade 3,208.0,0.8571428656578064,0.8666666746139526,104,76,Siaya,Nyanza,No,669,0.882136279926335,73.08,0
792,1722,Grade 2,100.0,0.7428571581840515,0.8666666746139526,96,87,Siaya,Nyanza,No,201,0.876425855513308,90.62,0
792,2049,Grade 4,10.0,0.36000001430511475,0.20000000298023224,92,68,Siaya,Nyanza,No,258,0.79874213836478,73.91,1
792,2290,Grade 1,73.0,0.8857142925262451,0.8666666746139526,95,46,Siaya,Nyanza,No,545,0.809248554913295,48.42,0
792,2323,Grade 5,221.0,0.875,0.6000000238418579,99,88,Siaya,Nyanza,No,259,0.964285714285714,88.89,0
792,2473,Grade 3,197.0,0.7428571581840515,0.800000011920929,104,96,Siaya,Nyanza,No,669,0.882136279926335,92.31,0
792,2493,Grade 3,215.0,0.9428571462631226,0.9333333373069763,104,83,Siaya,Nyanza,No,669,0.882136279926335,79.81,0
792,3061,Grade 1,34.0,0.6285714507102966,0.7333333492279053,75,57,Siaya,Nyanza,No,545,0.809248554913295,76.0,0
792,3090,Grade 5,221.0,0.8999999761581421,0.6600000262260437,99,89,Siaya,Nyanza,No,259,0.964285714285714,89.9,0
792,3288,Grade 3,141.0,0.8571428656578064,0.699999988079071,104,93,Siaya,Nyanza,No,669,0.882136279926335,89.42,0
792,3435,Grade 3,198.0,0.9142857193946838,0.7666666507720947,104,66,Siaya,Nyanza,No,669,0.882136279926335,63.46,0
792,3959,Grade 2,32.0,0.800000011920929,0.699999988079071,96,54,Siaya,Nyanza,No,201,0.876425855513308,56.25,0
792,4268,Grade 4,225.0,0.7799999713897705,0.8600000143051147,92,68,Siaya,Nyanza,No,258,0.79874213836478,73.91,0
792,4308,Grade 5,221.0,0.875,0.7599999904632568,46,38,Siaya,Nyanza,No,259,0.964285714285714,82.61,0
792,4309,Grade 1,65.0,0.9142857193946838,0.8999999761581421,95,59,Siaya,Nyanza,No,545,0.809248554913295,62.11,0
792,4745,Grade 5,50.0,0.824999988079071,0.4000000059604645,99,83,Siaya,Nyanza,No,259,0.964285714285714,83.84,0
792,4977,Grade 5,220.0,0.699999988079071,0.7200000286102295,99,61,Siaya,Nyanza,No,259,0.964285714285714,61.62,0
792,5075,Grade 2,13.0,0.6571428775787354,0.10000000149011612,96,87,Siaya,Nyanza,No,201,0.876425855513308,90.62,0
792,5590,Grade 4,251.0,0.7599999904632568,0.8399999737739563,92,82,Siaya,Nyanza,No,258,0.79874213836478,89.13,0
792,5709,Grade 1,75.0,0.9428571462631226,0.9333333373069763,95,85,Siaya,Nyanza,No,545,0.809248554913295,89.47,0
792,6395,Grade 3,199.0,0.8285714387893677,0.8666666746139526,104,89,Siaya,Nyanza,No,669,0.882136279926335,85.58,0
792,6521,Grade 3,,0.8285714387893677,,104,59,Siaya,Nyanza,No,669,0.882136279926335,56.73,0
792,6704,Grade 4,210.0,0.699999988079071,0.6800000071525574,89,49,Siaya,Nyanza,No,258,0.79874213836478,55.06,0
792,7093,Grade 1,41.0,0.6857143044471741,0.800000011920929,93,79,Siaya,Nyanza,No,545,0.809248554913295,84.95,0
792,7121,Grade 5,221.0,0.8999999761581421,0.800000011920929,46,39,Siaya,Nyanza,No,259,0.964285714285714,84.78,0
792,7140,Grade 5,221.0,0.875,0.5600000023841858,95,61,Siaya,Nyanza,No,259,0.964285714285714,64.21,0
792,7718,Grade 3,206.0,0.8857142925262451,0.8999999761581421,104,87,Siaya,Nyanza,No,669,0.882136279926335,83.65,0
792,8114,Grade 5,,,,99,56,Siaya,Nyanza,No,259,0.964285714285714,56.57,0
792,8155,Grade 2,96.0,0.800000011920929,0.6666666865348816,96,86,Siaya,Nyanza,No,201,0.876425855513308,89.58,0
792,8271,Grade 4,15.0,0.30000001192092896,0.30000001192092896,92,80,Siaya,Nyanza,No,258,0.79874213836478,86.96,0
792,8309,Grade 4,240.0,0.7799999713897705,0.7200000286102295,92,59,Siaya,Nyanza,No,258,0.79874213836478,64.13,0
792,8370,Grade 5,221.0,1.0,0.8799999952316284,99,81,Siaya,Nyanza,No,259,0.964285714285714,81.82,0
792,8869,Grade 2,36.0,0.5428571701049805,0.4333333373069763,96,80,Siaya,Nyanza,No,201,0.876425855513308,83.33,0
792,9002,Grade 3,225.0,1.0,1.0,104,83,Siaya,Nyanza,No,669,0.882136279926335,79.81,0
